Model,Launch,Core name,Cores,Threads,Freq (MHz),Turbo (MHz),L3 Cache (KB),TDP (Watt),DP FLOPs/cycle,DB GFLOPS (No Turbo),DB GFLOPS/Watt,Tech (micron),Socket,FSB (MHz),L2 Cache (KB)
 E3-1240L v3 , May 2014 , Haswell LGA1150 ,4,8,2000,3000,8192,25,16,128,5.120,0.022, Socket 1150 ,,1024
 E3-1230L v3 , Jun 2013 , Haswell LGA1150 ,4,8,1800,2800,8192,25,16,115,4.608,0.022, Socket 1150 ,,1024
 E3-1275L v3 , Jun 2014 , Haswell LGA1150 ,4,8,2700,3900,8192,45,16,173,3.840,0.022, Socket 1150 ,,1024
 E3-1265L v3 , Jun 2013 , Haswell LGA1150 ,4,8,2500,3700,8192,45,16,160,3.556,0.022, Socket 1150 ,,1024
 E3-1268L v3 , Jun 2013 , Haswell LGA1150 ,4,8,2300,3300,8192,45,16,147,3.271,0.022, Socket 1150 ,,1024
 E3-1286L v3 , Jun 2014 , Haswell LGA1150 ,4,8,3200,4000,8192,65,16,205,3.151,0.022, Socket 1150 ,,1024
 E3-1285L v3 , Jun 2013 , Haswell LGA1150 ,4,8,3100,3900,8192,65,16,198,3.052,0.022, Socket 1150 ,,1024
 E3-1281 v3 , Jun 2014 , Haswell LGA1150 ,4,8,3700,4100,8192,82,16,237,2.888,0.022, Socket 1150 ,,1024
 E3-1271 v3 , Jun 2014 , Haswell LGA1150 ,4,8,3600,4000,8192,80,16,230,2.880,0.022, Socket 1150 ,,1024
 E3-1286 v3 , Jun 2014 , Haswell LGA1150 ,4,8,3700,4100,8192,84,16,237,2.819,0.022, Socket 1150 ,,1024
 E3-1280 v3 , Jun 2013 , Haswell LGA1150 ,4,8,3600,4000,8192,82,16,230,2.810,0.022, Socket 1150 ,,1024
 E3-1241 v3 , Jun 2014 , Haswell LGA1150 ,4,8,3500,3900,8192,80,16,224,2.800,0.022, Socket 1150 ,,1024
 E3-1270 v3 , Jun 2013 , Haswell LGA1150 ,4,8,3500,3900,8192,80,16,224,2.800,0.022, Socket 1150 ,,1024
 E3-1276 v3 , Jun 2014 , Haswell LGA1150 ,4,8,3600,4000,8192,84,16,230,2.743,0.022, Socket 1150 ,,1024
 E3-1285 v3 , Jun 2013 , Haswell LGA1150 ,4,8,3600,4000,8192,84,16,230,2.743,0.022, Socket 1150 ,,1024
 E3-1231 v3 , Jun 2014 , Haswell LGA1150 ,4,8,3400,3800,8192,80,16,218,2.720,0.022, Socket 1150 ,,1024
 E3-1240 v3 , Jun 2013 , Haswell LGA1150 ,4,8,3400,3800,8192,80,16,218,2.720,0.022, Socket 1150 ,,1024
 E3-1220L v3 , Sep 2013 , Haswell LGA1150 ,2,4,1100,1300,4096,13,16,35,2.708,0.022, Socket 1150 ,,512
 E3-1246 v3 , Jun 2014 , Haswell LGA1150 ,4,8,3500,3900,8192,84,16,224,2.667,0.022, Socket 1150 ,,1024
 E3-1275 v3 , Jun 2013 , Haswell LGA1150 ,4,8,3500,3900,8192,84,16,224,2.667,0.022, Socket 1150 ,,1024
 E3-1230 v3 , Jun 2013 , Haswell LGA1150 ,4,8,3300,3700,8192,80,16,211,2.640,0.022, Socket 1150 ,,1024
 E3-1245 v3 , Jun 2013 , Haswell LGA1150 ,4,8,3400,3800,8192,84,16,218,2.590,0.022, Socket 1150 ,,1024
 E3-1226 v3 , Jun 2014 , Haswell LGA1150 ,4,4,3300,3700,8192,84,16,211,2.514,0.022, Socket 1150 ,,1024
 E7-8880L v2 , Feb 2014 , Ivy Bridge-EX ,15,30,2200,2800,38400,105,8,264,2.514,0.022, Socket 2011-1 , 4000 (DMI/QPI) ,3840
 E3-1220 v3 , Jun 2013 , Haswell LGA1150 ,4,4,3100,3500,8192,80,16,198,2.480,0.022, Socket 1150 ,,1024
 E3-1225 v3 , Jun 2013 , Haswell LGA1150 ,4,4,3200,3600,8192,84,16,205,2.438,0.022, Socket 1150 ,,1024
 E7-2880 v2 , Feb 2014 , Ivy Bridge-EX ,15,30,2500,3100,38400,130,8,300,2.308,0.022, Socket 2011-1 , 4000 (DMI/QPI) ,3840
 E7-4880 v2 , Feb 2014 , Ivy Bridge-EX ,15,30,2500,3100,38400,130,8,300,2.308,0.022, Socket 2011-1 , 4000 (DMI/QPI) ,3840
 E7-8880 v2 , Feb 2014 , Ivy Bridge-EX ,15,30,2500,3100,38400,130,8,300,2.308,0.022, Socket 2011-1 , 4000 (DMI/QPI) ,3840
 E5-2450L v2 , Jan 2014 , Ivy Bridge-EN ,10,20,1700,2100,25600,60,8,136,2.267,0.022, Socket 1356 , 4000 (DMI/QPI) ,2560
 E7-8857 v2 , Feb 2014 , Ivy Bridge-EX ,12,12,3000,3600,30720,130,8,288,2.215,0.022, Socket 2011-1 , 4000 (DMI/QPI) ,3072
 E5-2648L v2 , Sep 2013 , Ivy Bridge-EP ,10,20,1900,2500,25600,70,8,152,2.171,0.022, Socket 2011 , 4000 (DMI/QPI) ,2560
 E5-4624L v2 , Mar 2014 , Ivy Bridge-EP ,10,20,1900,2500,25600,70,8,152,2.171,0.022, Socket 2011 , 4000 (DMI/QPI) ,2560
 E7-2890 v2 , Feb 2014 , Ivy Bridge-EX ,15,30,2800,3400,38400,155,8,336,2.168,0.022, Socket 2011-1 , 4000 (DMI/QPI) ,3840
 E7-4890 v2 , Feb 2014 , Ivy Bridge-EX ,15,30,2800,3400,38400,155,8,336,2.168,0.022, Socket 2011-1 , 4000 (DMI/QPI) ,3840
 E7-8890 v2 , Feb 2014 , Ivy Bridge-EX ,15,30,2800,3400,38400,155,8,336,2.168,0.022, Socket 2011-1 , 4000 (DMI/QPI) ,3840
 E7-8895 v2 , Feb 2014 , Ivy Bridge-EX ,15,30,2800,3600,38400,155,8,336,2.168,0.022, Socket 2011-1 , 4000 (DMI/QPI) ,3840
 E3-1220L v2 , May 2012 , Ivy Bridge-H2 ,2,4,2300,3500,3072,17,8,37,2.165,0.022, Socket 1155 ,,512
 E7-2870 v2 , Feb 2014 , Ivy Bridge-EX ,15,30,2300,2900,30720,130,8,276,2.123,0.022, Socket 2011-1 , 4000 (DMI/QPI) ,3840
 E7-4870 v2 , Feb 2014 , Ivy Bridge-EX ,15,30,2300,2900,30720,130,8,276,2.123,0.022, Socket 2011-1 , 4000 (DMI/QPI) ,3840
